City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather
59,Ginir,ET,2021-09-29 02:55:51,7.1333,40.7,60.19,83,94,3.29,overcast clouds
60,Tuatapere,NZ,2021-09-29 03:05:08,-46.1333,167.6833,47.82,77,68,16.33,broken clouds
61,Kerchevskiy,RU,2021-09-29 03:05:09,59.946,56.2884,30.85,92,51,3.38,broken clouds
62,Zhigansk,RU,2021-09-29 02:55:42,66.7697,123.3711,34.92,69,47,20.33,scattered clouds
63,Grand Gaube,MU,2021-09-29 02:57:39,-20.0064,57.6608,74.37,65,38,8.99,scattered clouds
64,Dingle,PH,2021-09-29 03:05:09,10.9995,122.6711,86.56,73,80,7.05,broken clouds
65,Biloela,AU,2021-09-29 03:00:17,-24.4167,150.5,72.68,53,99,16.82,overcast clouds
66,Straumen,NO,2021-09-29 03:05:10,63.8709,11.2999,54.63,85,97,4.59,overcast clouds
67,Pailon,BO,2021-09-29 03:05:10,-17.65,-62.75,76.39,57,0,4.94,clear sky
68,Gizo,SB,2021-09-29 03:05:10,-8.103,156.8419,83.39,74,97,5.99,moderate rain
69,Lompoc,US,2021-09-29 03:01:18,34.6391,-120.4579,62.94,76,1,25.99,clear sky
70,Hermanus,ZA,2021-09-29 03:05:11,-34.4187,19.2345,57.9,84,16,9.6,few clouds
71,Mount Pleasant,US,2021-09-29 03:01:52,32.7941,-79.8626,75.0,82,1,3.0,clear sky
72,Bereda,ES,2021-09-29 03:05:09,43.2686,-7.5406,56.95,98,92,2.73,overcast clouds
73,Iqaluit,CA,2021-09-29 03:05:12,63.7506,-68.5145,25.7,92,100,1.99,overcast clouds
74,Nancha,CN,2021-09-29 03:05:12,47.1333,129.2667,59.63,96,100,2.15,overcast clouds
75,Stokmarknes,NO,2021-09-29 03:05:12,68.5646,14.9108,51.76,79,100,3.47,overcast clouds
76,Upernavik,GL,2021-09-29 03:05:13,72.7868,-56.1549,25.61,52,15,3.91,few clouds
77,Aklavik,CA,2021-09-29 02:56:24,68.2191,-135.0107,32.83,94,100,20.92,light snow
78,Northam,GB,2021-09-29 02:57:38,51.0333,-4.2167,56.3,80,4,16.75,light rain
79,Dikson,RU,2021-09-29 03:05:14,73.5069,80.5464,36.66,95,100,8.99,overcast clouds
80,Santa Rosa,PH,2021-09-29 03:03:12,14.3122,121.1114,89.1,66,51,4.23,broken clouds
81,Zhigalovo,RU,2021-09-29 02:55:58,54.8097,105.1578,37.17,74,99,5.23,overcast clouds
82,Port Elizabeth,ZA,2021-09-29 03:05:14,-33.918,25.5701,50.09,83,100,10.96,overcast clouds
83,Islamkot,PK,2021-09-29 03:05:15,24.6997,70.177,89.29,57,19,16.8,light rain
84,Saskylakh,RU,2021-09-29 03:03:51,71.9167,114.0833,28.11,78,100,4.97,overcast clouds
85,Kahului,US,2021-09-29 02:55:43,20.8947,-156.47,79.86,78,54,5.01,broken clouds
86,Eregli,TR,2021-09-29 03:05:15,37.5133,34.0467,56.62,58,0,0.81,clear sky
87,Takab,IR,2021-09-29 03:05:16,36.4009,47.1133,50.13,35,0,2.1,clear sky
88,Narrabri,AU,2021-09-29 03:05:16,-30.3167,149.7833,58.3,93,100,10.96,light rain
89,Faanui,PF,2021-09-29 02:57:08,-16.4833,-151.75,78.78,75,18,14.79,light rain
90,Ilulissat,GL,2021-09-29 03:05:17,69.2167,-51.1,26.62,39,44,14.97,scattered clouds
91,Port Alfred,ZA,2021-09-29 03:05:17,-33.5906,26.891,58.17,85,100,10.74,overcast clouds
92,Kayerkan,RU,2021-09-29 03:05:17,69.3497,87.7602,33.57,62,22,5.48,few clouds
93,Altamont,US,2021-09-29 03:05:18,42.2068,-121.7372,46.78,70,1,3.0,clear sky
94,Saint George,US,2021-09-29 03:00:56,37.1041,-113.5841,81.07,28,20,1.01,few clouds
95,Karasjok,NO,2021-09-29 02:56:56,69.4719,25.5112,41.11,94,91,7.18,overcast clouds
96,Muisne,EC,2021-09-29 03:05:18,0.6,-80.0333,73.94,83,100,6.85,overcast clouds
97,Akyab,MM,2021-09-29 03:05:19,20.15,92.9,82.51,75,91,3.09,overcast clouds
98,Rabaul,PG,2021-09-29 03:05:19,-4.1967,152.1721,85.93,67,29,11.27,scattered clouds
99,Carutapera,BR,2021-09-29 03:05:20,-1.195,-46.02,75.78,91,12,5.32,few clouds
100,Hithadhoo,MV,2021-09-29 03:05:20,-0.6,73.0833,82.71,72,71,10.76,broken clouds
101,Kodinar,IN,2021-09-29 03:05:20,20.7903,70.7031,76.73,95,100,11.95,light rain
102,Oksfjord,NO,2021-09-29 03:05:21,70.2396,22.3479,45.52,83,92,0.81,overcast clouds
103,Khuzhir,RU,2021-09-29 03:05:21,53.1939,107.3397,37.13,64,100,7.36,overcast clouds
104,Erenhot,CN,2021-09-29 03:05:21,43.6475,111.9767,50.9,37,85,3.58,overcast clouds
105,Axim,GH,2021-09-29 02:57:57,4.8699,-2.2405,75.96,89,13,4.38,few clouds
106,Sechura,PE,2021-09-29 03:05:22,-5.5569,-80.8222,64.56,81,16,10.96,few clouds
107,Puerto Escondido,MX,2021-09-29 03:03:02,15.85,-97.0667,77.83,73,75,4.61,broken clouds
